"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-1.07,0.49,0.31,0.29,0.35,0.39,-0.12,-0.35,0.2,0.05,NA,-0.04,NA,-0.31,NA,NA,NA
-0.7,0.11,0.25,0.28,0.19,0,-0.1,-0.19,0.15,-0.37,0.12,-0.09,0.29,0.29,0.11,0.18,0.53
-0.78,-0.04,0.17,0.14,0.29,-0.06,-0.12,-0.08,0.12,0.26,0.61,0.04,0.38,0.45,0.57,0.6,0.99
-0.98,-0.09,0.24,0.19,0.06,NA,-0.43,-0.94,0.02,-0.34,NA,NA,NA,-1.15,NA,NA,NA
-0.98,0.13,0.22,0.29,0.4,NA,-0.15,-0.5,0.24,-0.04,NA,NA,NA,-0.52,NA,NA,NA
-0.98,0.1,0.2,0.26,0.24,NA,-0.16,-0.32,0.14,-0.03,NA,0.13,NA,0.49,NA,NA,0.98
-0.92,0.16,0.22,0.2,0.28,NA,-0.15,-0.51,0.1,-0.07,NA,-0.02,NA,0.11,NA,NA,NA
-0.54,0.04,0.1,0.16,0.14,NA,-0.32,-0.24,-0.04,0,NA,NA,NA,-1.61,NA,NA,NA
-0.87,0.16,0.31,0.32,0.28,NA,-0.26,-0.61,0.21,0.03,NA,-0.1,NA,-0.19,NA,NA,NA
-0.41,0.38,0.5,0.43,0.39,NA,-0.42,-1,0.38,0.08,NA,0.21,NA,-0.31,NA,NA,NA
NA,0.14,0.13,0.36,0.24,NA,-0.55,-0.95,0.23,0.31,NA,-0.17,NA,-1,NA,NA,NA
-1.02,0.14,0.31,0.46,0.35,NA,-0.29,-0.71,0.1,-0.18,NA,NA,NA,-0.57,NA,NA,NA
-0.93,0.13,0.24,0.23,0.21,NA,-0.3,-0.71,0.23,-0.1,NA,-0.49,NA,-0.66,NA,NA,NA
-0.9,-0.06,0.14,0.18,0.06,NA,-0.42,-0.68,0.15,0.01,NA,0.12,NA,0.66,0.67,0.74,1.22
-1.06,0.21,0.31,0.44,0.42,NA,-0.17,-0.58,0.04,-0.22,NA,NA,NA,-0.14,NA,NA,NA
-0.93,0.33,0.46,0.26,0.12,NA,-0.53,-0.79,0.4,0.31,NA,NA,NA,NA,NA,NA,NA
-0.36,-0.02,0.06,0.1,0,NA,-0.59,-0.72,0.22,-0.03,NA,NA,NA,-1.3,NA,NA,NA
-1.05,0.08,0.21,0.41,0.31,NA,-0.1,-0.5,0.13,0.1,NA,NA,NA,-0.32,NA,NA,NA
NA,NA,0.38,0.32,0.36,NA,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.97,0.08,0.16,0.23,0.17,NA,-0.16,-0.62,0.34,0.21,NA,NA,NA,NA,NA,NA,NA
-0.59,-0.03,0.33,0.25,0.22,NA,-0.08,-0.41,0.17,-0.01,NA,NA,NA,-0.45,NA,NA,NA
-0.74,0.26,0.29,0.37,0.39,0.22,-0.13,-0.39,0.14,-0.16,0.13,0.16,NA,0.01,NA,NA,NA
-0.59,-0.02,0.28,0.17,0.05,-0.22,-0.5,-0.45,-0.1,-0.07,0.12,-0.3,0.11,-1.27,-0.43,-0.25,NA
-1.11,0.07,0.13,0.21,0.31,NA,-0.05,-0.68,NA,0.27,NA,NA,NA,-0.16,NA,NA,NA
